1|Кто изобрел электрическую лампу?|4|Рудольф Дизель|Бенджамин Франклин|Александр Г. Белл|Томас Альва Эдисон
2|Какая актриса выиграла больше всего "Оскаров"?|3|Мэрилин Монро|Софи Лорейн|Кэтрин Хепберн|Одри Хепберн
3|С какой из этих стран Россия не разделяет наземную границу?|3|Казахстан|Азербайджан|Армения|Георгия
4|Какая птица может повернуть голову на 270 градусов?|1|Сова|Дятел|Кукушка|Удод
5|Какой сладкий коктейль классически сделан из водки, кофейного ликера и сливок?|2|Джин-тоник|Белый русский|Кровавая Мэри|Ром и изюм
6|В Англии каков был результат отлучения Генриха VIII от католической церкви?|1|Реформация|Утешение|Празднование|Распространение
7|Какой литературный термин означает повторение начальных согласных звуков в фразе?|1|Ассонанс|Сравнение|Аллитерация|Метафора
8|Плотность льда меньше, чем у воды. Следовательно, лед ... вода.|2|смешивается с|держится на|тает в|тонет в
9|Какой из следующих российских городов находится дальше всего на Севере?|3|Екатеринбург|Магадан|Санкт-Петербург|Москва
10|Какая крошечная страна контролировала две трети мировой торговли между 1600 и 1650 годами?|4|Чешская Республика|Лихтенштейн|Австрия|Голландия
